h3_index,lsoa21cd,percentage_coverage
89194e6d0a3ffff,E01032567,3.0
89194e6d0a3ffff,E01001574,2.06
89194ac2277ffff,E01001173,9.16
89194ac2277ffff,E01001169,0.65
89194ad56d3ffff,E01000841,0.27
89194ad56d3ffff,E01000836,2.58
89194ad56d3ffff,E01000832,8.49
89194ad56d3ffff,E01000835,4.41
89194e6acbbffff,E01000027,0.82
89194e6acbbffff,E01003640,1.33
89194e6acbbffff,E01003726,0.01
89194ad1927ffff,E01001187,0.0
89194ad1927ffff,E01001193,51.37
89194ad1927ffff,E01001186,2.24
89194e60d7bffff,E01002391,1.09
89195db4b73ffff,E01001456,9.28
89195db4b73ffff,E01001454,0.68
89195db4b73ffff,E01001567,21.6
89195da54c3ffff,E01000186,11.5
89195da54c3ffff,E01000187,13.53
89195da54c3ffff,E01000230,12.79
89195da54c3ffff,E01000229,0.46
89194ad7097ffff,E01000815,10.23
89194ad7097ffff,E01000807,0.64
89194ad7097ffff,E01000698,3.29
89194ad7097ffff,E01000696,0.11
89194e688d3ffff,E01003575,34.82
89194e688d3ffff,E01003580,0.39
89194e688d3ffff,E01003583,38.99
89194e688d3ffff,E01003579,3.89
89194adae43ffff,E01004643,15.35
89194adae43ffff,E01004572,4.39
89194adae43ffff,E01004505,14.62
89194e6e043ffff,E01002344,0.8
89195da6e87ffff,E01002015,1.32
89195da6e87ffff,E01033086,12.45
89195da6e87ffff,E01002014,23.59
89195da6e87ffff,E01033946,52.65
89195da6e87ffff,E01033945,3.97
89194ad8a5bffff,E01002922,17.33
89194ad8a5bffff,E01002921,0.93
89194ad8a5bffff,E01002992,11.61
89194e60357ffff,E01002268,10.26
89194e60357ffff,E01002294,0.58
89194ac3217ffff,E01004147,9.67
89194ac3217ffff,E01004144,16.46
89194ad6673ffff,E01000720,0.88
89194ad6673ffff,E01000721,10.69
89194ad28c7ffff,E01001653,4.22
89194ad28c7ffff,E01001661,17.71
89194ad28c7ffff,E01001660,0.76
89195db5b13ffff,E01000246,8.26
89195db5b13ffff,E01000167,0.91
89194ad428bffff,E01000749,1.02
89195da6463ffff,E01000119,2.06
89195da6463ffff,E01033927,21.42
89195da6463ffff,E01001525,10.08
89195da6463ffff,E01000115,6.94
89194e61d1bffff,E01002275,13.94
89194e61d1bffff,E01002273,4.07
89194e69873ffff,E01001846,17.39
89194ad8037ffff,E01003806,2.29
89194ad5c4fffff,E01000657,3.62
89194ad5c4fffff,E01000658,2.86
89194ad5c4fffff,E01032570,4.7
89194aca34bffff,E01002948,1.45
89194e6b237ffff,E01001477,6.42
89194e6b237ffff,E01033926,1.03
89195da407bffff,E01000220,1.55
89195da407bffff,E01000218,37.01
89195da407bffff,E01000216,11.76
89195da407bffff,E01000215,5.66
89195da407bffff,E01000217,0.32
89194ad1ea3ffff,E01003083,1.13
89194ad1ea3ffff,E01003080,42.77
89194ad1ea3ffff,E01003079,17.29
89195dad597ffff,E01002441,1.2
89195dad597ffff,E01002473,0.25
89194ac040bffff,E01001092,16.09
89194ad7613ffff,E01000645,12.1
89194e68e4fffff,E01003543,23.38
89194e68e4fffff,E01003792,7.11
89195da7403ffff,E01000249,6.7
89195da7403ffff,E01000248,14.76
89194ad522bffff,E01001060,4.76
89194ad522bffff,E01001078,5.96
89194e6a813ffff,E01033590,14.93
89194e6a813ffff,E01003663,25.2
89194e608d3ffff,E01002391,1.09
89195dacb73ffff,E01002637,13.67
89194e6c1d7ffff,E01000374,5.69
89194e6c1d7ffff,E01000434,3.24
89194e6842bffff,E01003659,21.66
